Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Payment,Credit Card,2024-01-15,2024-01-15,Grocery Shopping,-45.50,0.00,USD,Completed,1254.50
Payment,Debit Card,2024-01-16,2024-01-16,Gas Station,-32.75,1.50,USD,Completed,1221.75
Transfer,Bank Transfer,2024-01-17,2024-01-17,Salary Deposit,2500.00,0.00,USD,Completed,3721.75
Payment,Credit Card,2024-01-18,2024-01-18,Restaurant Dinner,-67.80,0.00,USD,Completed,3653.95
Payment,Online Payment,2024-01-19,2024-01-19,Utility Bill,-125.30,2.00,USD,Completed,3528.65
Payment,Credit Card,2024-01-20,2024-01-20,Coffee Shop,-4.75,0.00,USD,Completed,3523.90
Transfer,ATM Withdrawal,2024-01-21,2024-01-21,Cash Withdrawal,-100.00,3.00,USD,Completed,3423.90
Payment,Debit Card,2024-01-22,2024-01-22,Grocery Shopping,-78.45,0.00,USD,Completed,3345.45
Payment,Credit Card,2024-01-23,2024-01-23,Online Shopping,-156.99,0.00,USD,Completed,3188.46
Transfer,Bank Transfer,2024-01-24,2024-01-24,Rent Payment,-1200.00,0.00,USD,Completed,1988.46
Payment,Credit Card,2024-01-25,2024-01-25,Pharmacy,-23.67,0.00,USD,Completed,1964.79
Payment,Debit Card,2024-01-26,2024-01-26,Gas Station,-41.20,1.50,USD,Completed,1923.59
Payment,Online Payment,2024-01-27,2024-01-27,Subscription Service,-9.99,0.00,USD,Completed,1913.60
Payment,Credit Card,2024-01-28,2024-01-28,Grocery Shopping,-89.34,0.00,USD,Completed,1824.26
Payment,Credit Card,2024-01-29,2024-01-29,Restaurant Lunch,-28.50,0.00,USD,Failed,1824.26
Transfer,Bank Transfer,2024-01-30,2024-01-30,Investment Transfer,-500.00,5.00,USD,Completed,1324.26
Payment,Debit Card,2024-01-31,2024-01-31,Coffee Shop,-5.25,0.00,USD,Completed,1319.01
Transfer,Bank Transfer,2024-02-01,2024-02-01,Salary Deposit,2500.00,0.00,USD,Completed,3819.01
Payment,Credit Card,2024-02-02,2024-02-02,Clothing Store,-134.99,0.00,USD,Completed,3684.02
Payment,Online Payment,2024-02-03,2024-02-03,Insurance Premium,-89.50,0.00,USD,Completed,3594.52
